Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2005,Distrito Federal,0.0,0.0,0.0,0.0,0.0,1.27,15.73,46.43,51.25,45.23,39.13,22.9
2005,Durango,0.0,0.0,0.0,0.0,0.0,1.33,4.86,12.98,14.61,19.87,19.03,6.99
2005,Guanajuato,0.0,0.0,0.0,0.0,0.37,0.0,3.5,17.96,14.07,13.47,10.42,5.42
2005,Guerrero,0.0,0.0,0.0,0.5,3.91,3.86,3.75,10.51,19.04,17.16,8.09,6.81
2005,Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,1.42,3.14,5.58,0.0,6.75,2.0
2005,Jalisco,0.0,0.0,0.29,0.85,1.16,3.67,19.05,83.52,83.24,78.79,62.3,32.43
2005,México,0.0,0.0,0.0,0.0,0.14,0.43,3.98,11.81,18.09,19.23,10.04,5.88
2005,Michoacán,0.0,0.0,0.0,0.0,0.0,0.47,3.26,16.51,25.42,16.44,14.3,6.98
2005,Morelos,0.0,0.0,0.0,0.0,0.0,0.0,2.68,6.29,9.09,0.0,7.33,3.24
2005,Nayarit,0.0,0.0,0.0,0.0,1.99,4.19,7.7,47.34,37.69,37.29,24.7,15.18
2005,Nuevo León,0.0,0.0,0.0,0.0,1.07,4.23,15.38,39.16,48.3,75.84,48.78,22.83
2005,Oaxaca,0.0,0.0,0.0,0.0,0.0,1.6,6.84,17.8,17.06,11.8,7.11,7.04
2005,Puebla,0.0,0.0,0.0,0.32,0.68,0.0,5.86,27.74,16.91,10.11,19.32,8.29
2005,Querétaro,0.0,0.0,0.0,0.0,0.0,1.25,13.22,40.49,33.06,47.85,50.03,16.79
2005,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,3.53,0.0,7.17,0.83
2005,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,1.77,32.23,88.96,83.38,86.54,68.08,53.34
2005,Sinaloa,0.0,0.0,0.0,0.7,3.64,1.52,21.2,49.94,68.87,56.83,69.44,28.47
2005,Sonora,0.0,0.0,0.0,0.0,0.87,2.71,10.1,34.31,36.14,42.1,29.39,17.83
2005,Tabasco,0.0,0.0,0.0,0.0,0.0,0.95,0.31,1.96,6.03,0.0,4.4,1.26
2005,Tamaulipas,0.0,0.0,0.0,0.0,0.0,0.7,12.77,55.78,51.92,54.4,49.4,21.12
